Distance_(microns),svbint,krint,svb,mlptint,eve-en,cad,kr,mlpt,gt
0,457.2564102564103,479.45299145299145,540.6410256410256,701.0683760683761,419.2393162393162,442.1025641025641,125.7094017094017,750.9316239316239,591.7948717948718
1,461.3114754098361,474.4344262295082,541.9918032786885,727.9918032786885,448.4918032786885,426.10655737704917,129.27868852459017,736.5327868852459,605.9180327868852
2,467.40625,471.3359375,551.4296875,750.3203125,485.7421875,434.078125,131.4140625,724.0625,644.609375
3,461.4661654135338,467.45112781954884,585.1127819548872,788.5563909774436,521.827067669173,473.3157894736842,130.10526315789474,722.9022556390977,646.406015037594
4,457.53284671532845,461.992700729927,588.1021897810219,747.3430656934306,534.8175182481751,467.45255474452557,131.04379562043795,714.9124087591241,650.8832116788321
5,465.6714285714286,460.70714285714286,586.9714285714285,723.7,520.6357142857142,481.74285714285713,130.15,704.9928571428571,665.7142857142857
6,469.9246575342466,463.7328767123288,610.3219178082192,725.6643835616438,525.9794520547945,486.78767123287673,127.20547945205479,700.9931506849315,669.2534246575342
7,468.1920529801325,491.58940397350995,608.2119205298013,711.9602649006622,530.9735099337748,442.317880794702,126.21854304635761,687.3973509933775,674.8874172185431
8,475.51612903225805,481.458064516129,593.916129032258,700.7354838709678,525.4387096774194,417.63870967741934,126.6,667.8838709677419,676.5806451612904
9,461.925,462.26875,591.325,733.625,521.65625,416.83125,130.05625,654.475,717.86875
10,458.20359281437123,469.5928143712575,618.3832335329341,719.6407185628742,506.52694610778445,446.2694610778443,129.80239520958085,667.6107784431138,733.622754491018
11,457.07954545454544,463.47727272727275,610.5511363636364,671.875,507.3238636363636,452.10227272727275,127.24431818181819,667.2386363636364,719.1136363636364
12,462.8810810810811,467.9189189189189,600.7081081081081,632.7945945945946,518.8216216216216,447.0972972972973,129.7945945945946,617.1675675675675,711.0972972972972
13,474.6515151515151,468.17171717171715,588.6717171717172,613.2929292929293,520.8838383838383,444.4040404040404,135.97979797979798,583.2777777777778,734.3737373737374
14,465.4881516587678,461.0568720379147,573.3317535545024,586.0473933649289,513.3270142180095,418.22748815165875,137.9431279620853,553.4407582938388,723.1516587677725
15,462.1737089201878,468.943661971831,557.6431924882629,579.1455399061033,510.61502347417843,420.44600938967136,139.28638497652582,513.1971830985915,721.5305164319249
16,455.4835680751174,477.57276995305165,545.8122065727699,557.9765258215963,498.40845070422534,421.7136150234742,137.6244131455399,461.3521126760563,713.6338028169014
